City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,69.91,50,31,8.12,AU,1714972578
1,albany,42.6001,-73.9662,52.74,82,100,1.01,US,1714972541
2,whitehorse,60.7161,-135.0538,41.77,86,75,17.27,CA,1714972579
3,qaqortoq,60.7167,-46.0333,29.95,64,0,4.94,GL,1714972579
4,ubinskoye,55.3068,79.6802,44.67,41,2,17.6,RU,1714972579
5,bilibino,68.0546,166.4372,32.77,79,12,2.19,RU,1714972579
6,namibe,-15.1961,12.1522,71.82,73,5,7.54,AO,1714972579
7,maysville,38.6412,-83.7444,67.78,82,0,0.0,US,1714972530
8,georgetown,5.4112,100.3354,89.53,66,20,9.22,MY,1714972579
9,fortuna,40.5982,-124.1573,45.99,92,0,0.0,US,1714972579
10,iqaluit,63.7506,-68.5145,14.18,97,89,3.67,CA,1714972579
11,ushuaia,-54.8,-68.3,38.86,87,100,11.5,AR,1714972495
12,the dalles,45.5946,-121.1787,51.58,71,95,8.99,US,1714972311
13,west island,-12.1568,96.8225,85.98,70,75,16.11,CC,1714972580
14,qamdo,31.1667,97.2333,50.58,31,99,6.04,CN,1714972580
15,waitangi,-43.9535,-176.5597,56.82,84,73,4.0,NZ,1714972580
16,dagomys,43.6703,39.6689,55.35,73,79,4.27,RU,1714972580
17,oakley,37.9974,-121.7124,53.92,66,13,5.01,US,1714972580
18,shira,54.4911,89.9531,52.9,57,100,18.14,RU,1714972580
19,vilyuchinsk,52.9306,158.4028,41.27,72,51,7.83,RU,1714972580
20,ilulissat,69.2167,-51.1,19.42,73,75,11.5,GL,1714972580
21,east london,-33.0153,27.9116,74.34,35,0,13.8,ZA,1714972580
22,medina,24.4686,39.6142,82.83,17,0,3.44,SA,1714972501
23,port-aux-francais,-49.35,70.2167,42.51,79,88,28.12,TF,1714972581
24,punta del este,-34.9667,-54.95,64.51,93,100,5.99,UY,1714972377
25,talnakh,69.4865,88.3972,22.21,65,100,2.28,RU,1714972447
26,salinopolis,-0.6136,-47.3561,77.14,92,99,18.75,BR,1714972581
27,pionerskiy,54.9508,20.2275,59.14,99,98,9.91,RU,1714972581
28,grytviken,-54.2811,-36.5092,35.82,83,49,6.96,GS,1714972581
29,sitka,57.0531,-135.33,44.49,76,40,4.61,US,1714972300
30,malanje,-9.5402,16.341,57.97,75,44,3.58,AO,1714972581
31,yuzhno-kurilsk,44.0306,145.8556,48.38,96,100,6.29,RU,1714972581
32,adamstown,-25.066,-130.1015,70.83,71,67,21.14,PN,1714972581
33,puerto natales,-51.7236,-72.4875,28.11,87,61,3.4,CL,1714972516
34,santa maria del oro,25.9333,-105.3667,65.8,25,96,7.25,MX,1714972582
35,port elizabeth,-33.918,25.5701,61.11,51,0,8.05,ZA,1714972582
36,port mathurin,-19.6833,63.4167,79.12,61,1,20.24,MU,1714972582
37,urucara,-2.5364,-57.76,75.99,99,98,2.21,BR,1714972582
